"Kläranlage","long","lat","Bundesland"
"Aachen",6.10416925332846,50.8085349583473,"Nordrhein-Westfalen"
"Aalen",10.0976962721463,48.853794728266,"Baden-Württemberg"
"Altötting",12.7032851740613,48.2566285618233,"Bayern"
"Andernach",7.42251563119967,50.4407136492111,"Rheinland-Pfalz"
"Arnstadt",10.9714738733155,50.890432113078,"Thüringen"
"Aschaffenburg",9.10918592705662,49.9755683649002,"Bayern"
"Augsburg",10.8883679994224,48.4136595516935,"Bayern"
"Bad Kreuznach",7.8803183944609,49.8597758552306,"Rheinland-Pfalz"
"Bad Mergentheim",9.749,49.5,"Baden-Württemberg"
"Bad Reichenhall",12.9244492742378,47.7654034009733,"Bayern"
"Bautzen",14.4656573200924,51.1765777850379,"Sachsen"
"Bayreuth",11.548,49.96,"Bayern"
"Berchtesgaden",13.0336327970608,47.6466223048748,"Bayern"
"Berg",9.61266146309602,47.8235379393525,"Baden-Württemberg"
"Berlin Ruhleben",13.2316804064126,52.5315796743214,"Berlin"
"Berlin Schönerlinde",13.4166377643276,52.6650260097835,"Berlin"
"Berlin Waßmannsdorf",13.4668654808737,52.3879909416715,"Berlin"
"Bernburg",11.7691568945389,51.7997870589016,"Sachsen-Anhalt"
"Bielefeld",8.599,52.043,"Nordrhein-Westfalen"
"Bonn",7.09292041785537,50.7572972075493,"Nordrhein-Westfalen"
"Borken",6.83132724979584,51.8518840413055,"Nordrhein-Westfalen"
"Bottrop",6.98091744484213,51.510935269588,"Nordrhein-Westfalen"
"Bramsche",7.98104075280018,52.416576137098,"Niedersachsen"
"Brandenburg an der Havel",12.4365223005683,52.4178614430517,"Brandenburg"
"Braunschweig",10.444388720147,52.3217382450439,"Niedersachsen"
"Bremen",8.71506910231405,53.1158938430918,"Bremen"
"Büdingen",9.08415825597644,50.2901400713176,"Hessen"
"Celle",10.056,52.623,"Niedersachsen"
"Chemnitz",12.8920510217363,50.8835767761246,"Sachsen"
"Cottbus",14.3511970497061,51.7733935912435,"Brandenburg"
"Darmstadt",8.626,49.886,"Hessen"
"Dessau",12.2093192664862,51.8599520394741,"Sachsen-Anhalt"
"Dinslaken",6.71769002345603,51.5717579529179,"Nordrhein-Westfalen"
"Donaueschingen",8.522,47.949,"Baden-Württemberg"
"Dortmund-Deusen",7.42629273876999,51.5377387146927,"Nordrhein-Westfalen"
"Dortmund-Scharnhorst",7.5224223481831904,51.5361473369526,"Nordrhein-Westfalen"
"Dresden",13.6736024980014,51.0709617900802,"Sachsen"
"Duisburg",6.72213593544807,51.491462420141,"Nordrhein-Westfalen"
"Döbeln",13.0636288799128,51.1299605947234,"Sachsen"
"Düsseldorf (Nord)",6.69057716586026,51.27814828938,"Nordrhein-Westfalen"
"Düsseldorf (Süd)",6.73894017150191,51.1941027601396,"Nordrhein-Westfalen"
"Ebersbach",14.57,51.017,"Sachsen"
"Ebersberg",11.989976444111,48.0783787085688,"Bayern"
"Emschermündung",6.77613866093138,51.5356847692422,"Nordrhein-Westfalen"
"Erfurt",10.9847612762836,51.0401472330923,"Thüringen"
"Eriskirch",9.53237780192359,47.6190248499893,"Baden-Württemberg"
"Erlangen",11,49.617,"Bayern"
"Eschweiler",6.33528383436757,50.8322158809548,"Nordrhein-Westfalen"
"Flensburg",9.41292906032738,54.8055164962954,"Schleswig-Holstein"
"Frankfurt (Oder)",14.5475396714663,52.3683161417245,"Brandenburg"
"Frankfurt-Griesheim",8.65,50.09,"Hessen"
"Frankfurt-Niederrad",8.61859390355671,50.0885245587399,"Hessen"
"Frankfurt-Sindlingen",8.52375802524229,50.0646639848894,"Hessen"
"Freilassing",12.9896415473684,47.8423759695764,"Bayern"
"Freising",11.7610855114359,48.4025136960312,"Bayern"
"Fulda",9.64001221592424,50.5742127929973,"Hessen"
"Gera",12.0303573123426,50.9207693632546,"Thüringen"
"Germersheim",8.37980493996167,49.2249114940332,"Rheinland-Pfalz"
"Gerwisch",11.732,52.183,"Sachsen-Anhalt"
"Gleisdreieck",10.5651833578986,50.936866891752,"Thüringen"
"Glonn",11.8735922329979,47.9816042405075,"Bayern"
"Grafing",11.9746862747013,48.0367804587594,"Bayern"
"Greifswald",13.4390124838218,54.1157551474003,"Mecklenburg-Vorpommern"
"Grimma",12.751372311175,51.2494645021125,"Sachsen"
"Grömitz",10.9974456172303,54.1842933482633,"Schleswig-Holstein"
"Göppingen",9.60358765287357,48.7040306762901,"Baden-Württemberg"
"Görlitz",15.0009011036329,51.1690755333191,"Sachsen"
"Göttingen",9.9161989101245709,51.5540585698535,"Niedersachsen"
"Gütersloh",8.33620220424786,51.9003037278302,"Nordrhein-Westfalen"
"Hagen",7.416,51.399,"Nordrhein-Westfalen"
"Halberstadt",11.0642863693514,51.9008248752518,"Sachsen-Anhalt"
"Halle (Saale)",11.9206826893264,51.5245085172409,"Sachsen-Anhalt"
"Hamburg 01",9.91562201723492,53.5205165117289,"Hamburg"
"Hamburg 02",9.943949,53.533309,NA
"Hanau",8.87324387036354,50.1285200484514,"Hessen"
"Hannover-Gümmerwald",9.5103712457025,52.415289102798,"Niedersachsen"
"Hannover-Herrenhausen",9.66147861451273,52.3968110585195,"Niedersachsen"
"Heidelberg",8.65140875270715,49.4350790230055,"Baden-Württemberg"
"Hetlingen",9.6076474021672,53.5979558140112,"Schleswig-Holstein"
"Hildesheim",9.924,52.179,"Niedersachsen"
"Hof",11.8990304021716,50.3367375011009,"Bayern"
"Husum",9.03277042500414,54.4705191560834,"Schleswig-Holstein"
"Ilmenau",10.9418692972682,50.6779424817831,"Thüringen"
"Ingolstadt",11.4929893896839,48.7593186785394,"Bayern"
"Jena",11.6341499379045,50.9575064066395,"Thüringen"
"Kaiserslautern",7.74260459015843,49.4593107801889,"Rheinland-Pfalz"
"Karlsruhe",8.35939315836991,49.0444775788154,"Baden-Württemberg"
"Kassel",9.52371673390507,51.324439515513,"Hessen"
"Kellinghusen",9.71391853597656,53.9429093815504,"Schleswig-Holstein"
"Kiel",10.18869,54.456,"Schleswig-Holstein"
"Koblenz",7.6041646188621,50.3882015975637,"Rheinland-Pfalz"
"Köln",6.97476708951469,50.9936681800133,"Nordrhein-Westfalen"
"Königsbach",8.59022181478829,48.959599847682,"Baden-Württemberg"
"Königsbrunn",10.8939993577969,48.2938536929951,"Bayern"
"Köthen",11.9572081049641,51.7593805416444,"Sachsen-Anhalt"
"Landau in der Pfalz",8.17543618840456,49.2077843914887,"Rheinland-Pfalz"
